show,episode,jp_start,jp_end,japanese,previous_english,next_english,nearest_gap_ms
erased,Erased - 01,0:01:50.330,0:01:51.210,早く行って,"She doesn't seem to have any feelings for me, either.",What a strange girl.,190
erased,Erased - 04,0:03:59.210,0:04:00.110,先生 分かる,"Ugh, they're so flirty with him.",Didn't you use to be just like them until recently?,40
erased,Erased - 05,0:05:00.760,0:05:01.860,札幌って？,but I heard she's doing well in Sapporo.,Did she run away?,440
erased,Erased - 06,0:04:25.300,0:04:27.140,小岩 小岩です,"Either I find him, or I get caught trying.",Hello?,2300
erased,Erased - 06,0:04:27.560,0:04:28.750,車内にお忘れ物…,"Either I find him, or I get caught trying.",Hello?,4560
erased,Erased - 07,0:01:59.430,0:02:00.480,悟 紳士的,Right. I must succeed...,"This time, for sure.",10
erased,Erased - 12,0:18:50.260,0:18:52.470,すでに選手村に入っている…,Two weeks until the opening of the 2010 Olympics in Vancouver...,I'm going for a walk.,200
fullmetal-alchemist,Fullmetal_Alchemist 39 - Civil War in the East,0:20:42.690,0:20:45.150,聖母様だわ お美しい…,It's the Holy Mother.,Rose?,2670
fullmetal-alchemist,Fullmetal_Alchemist 43 - The Stray Dog Han Run Away,0:12:39.710,0:12:40.550,じっとして…,"Oh, sure enough, you've come after us!",Scieszka!,80
kokoro-connect,Kokoro Connect - 04,0:13:26.950,0:13:28.320,まずった,Are you sure you're not the one suffering the most from it?,"I am completely out of it today, showing weakness to an enemy.",590
kokoro-connect,Kokoro Connect - 09,0:15:57.720,0:15:59.100,（太一）あっ （伊織）もらった,"Not you, too, Kiriyama!",All three of you?,120
kokoro-connect,Kokoro Connect - 12,0:21:51.160,0:21:52.040,（太一）ふざけるなよ,What do you know? What are you hiding from us?,"No, it's not!",120
kokoro-connect,Kokoro Connect - 17,0:05:29.370,0:05:30.790,この野郎,Get 'em!,Fucking bitch!,2250
sonny-boy,Sonny Boy - 01 - The Island At The Far End Of Summer,0:19:38.280,0:19:39.070,何あれ？血？,"It might be surprisingly easy, if we just give it a try.","Hey, did you have to go that far?! Huh?!",1840
sonny-boy,Sonny Boy - 02 - Aliens,0:21:25.530,0:21:27.060,どういうことなの？,Hyo-ryu-coin!,This is an electronic payment service,0
sonny-boy,Sonny Boy - 09 - This Salmon Chazuke Is Missing Its Salmon Nya,0:11:12.540,0:11:15.800,そいでこの… 「ときめきダニ高校」ってのは何？,"...fifty USB cables, and a box of Sudakosan Taro.",A crowd-funded game I once wrote for the PocketGame.,0
