"rank","word","reading","alternative_spellings"
1,"の","の",""
2,"は","は",""
3,"に","に",""
4,"を","を",""
5,"と","と",""
6,"も","も",""
7,"が","が",""
8,"で","で",""
9,"から","から",""
10,"だ","だ",""
11,"する","する","為る"
12,"か","か",""
13,"よ","よ",""
14,"ある","ある","在る; 有る"
15,"こと","こと","事; 縡"
16,"なる","なる","成る; 為る"
17,"それ","それ","其; 其れ"
18,"いる","いる","居る"
19,"ね","ね",""
20,"思う","おもう",""
21,"この","この","斯の; 此の"
22,"には","には",""
23,"でも","でも",""
24,"です","です",""
25,"その","その","其の"
26,"な","な",""
27,"言う","いう",""
28,"って","って",""
29,"ない","ない","無い"
30,"んだ","んだ",""
31,"そう","そう","然う"
32,"私","わたし",""
33,"いい","いい",""
34,"これ","これ","之; 之れ; 惟; 是; 是れ; 此; 此れ; 維"
35,"だった","だった",""
36,"見る","みる",""
37,"だけ","だけ","丈"
38,"くる","くる","來る; 来る"
39,"さん","さん",""
40,"くれる","くれる","呉れる"
41,"やる","やる","行る; 遣る"
42,"まで","まで","迄"
43,"もの","もの","物"
44,"行く","いく",""
45,"という","という","と言う"
46,"もう","もう",""
47,"だから","だから",""
48,"そんな","そんな",""
49,"あの","あの","彼の"
50,"だろう","だろう",""
52,"しまう","しまう","了う; 仕舞う; 終う; 蔵う"
53,"来る","くる",""
54,"ん","ん",""
55,"人","ひと",""
56,"ここ","ここ","是; 此処; 此所; 爰; 茲"
57,"や","や",""
58,"し","し",""
59,"お","お","御"
60,"とする","とする",""
61,"自分","じぶん",""
62,"じゃない","じゃない","じゃ無い"
63,"知る","しる",""
64,"なら","なら",""
65,"行く","いく","いく; 往く; 逝く"
66,"わ","わ",""
67,"今","いま",""
68,"聞く","きく",""
69,"へ","へ",""
70,"ような","ような","様な"
71,"とは","とは",""
72,"何","なに",""
73,"前","まえ",""
74,"出る","でる",""
75,"中","なか",""
76,"にも","にも",""
77,"ように","ように","様に"
78,"顔","かお",""
79,"である","である",""
80,"んです","んです",""
